"Países","Ranking Felicidad","Indice de Felicidad "
"España","29","6.476"
"Alemania","14","7.034"
"Reino Unido","17","6.943"
"Francia","20","6.687"
"Italia","31","6.467"
"Portugal","56","6.016"
"Estados Unidos","16","6.977"
"Japón","54","6.039"
"China","72","5.585"
"Emiratos Árabes Unidos","24","6.576"
"Afganistán","146","2.404"
"Albania","90","5.199"
"Armenia","82","5.399"
"Argentina","57","5.967"
"Austria","11","7.163"
"Australia","12","7.162"
"Azerbaiyán","92","5.173"
"Bosnia y Herzegovina","67","5.768"
"Bangladés","94","5.155"
"Bélgica","19","6.805"
"Burkina Faso","113","4.67"
"Bulgaria","85","5.371"
"Baréin","21","6.647"
"Benin","115","4.623"
"Bolivia","71","5.6"
"Brasil","38","6.293"
"Botsuana","142","3.471"
"Bielorrusia","65","5.821"
"Canadá","15","7.025"
"República del Congo","99","5.075"
"Suiza","4","7.512"
"Costa de Marfil","88","5.235"
"Chile","44","6.172"
"Camerún","102","5.048"
"Colombia","66","5.781"
"Costa Rica","23","6.582"
"Chipre","41","6.221"
"Chequia","18","6.92"
"Dinamarca","2","7.636"
"República Dominicana","69","5.737"
"Argelia","96","5.122"
"Ecuador","76","5.533"
"Estonia","36","6.341"
"Egipto","129","4.288"
"Etiopía","131","4.241"
"Finlandia","1","7.821"
"Gabón","106","4.958"
"Georgia","105","4.973"
"Ghana","111","4.872"
"Gambia","93","5.164"
"Guinea","109","4.891"
"Grecia","58","5.948"
"Guatemala","39","6.262"
"Hong Kong","81","5.425"
"Honduras","55","6.022"
"Croacia","47","6.125"
"Hungría","51","6.086"
"Indonesia","87","5.24"
"Irlanda","13","7.041"
"Israel","9","7.364"
"India","136","3.777"
"Irak","107","4.941"
"Irán","110","4.888"
"Islandia","3","7.557"
"Jamaica","63","5.85"
"Jordania","134","4.152"
"Kenia","119","4.543"
"Kirguistán","64","5.828"
"Camboya","114","4.64"
"Comoras","116","4.609"
"Corea del Sur","59","5.935"
"Kuwait","50","6.106"
"Kazajistán","40","6.234"
"Laos","95","5.14"
"Líbano","145","2.955"
"Sri Lanka","127","4.362"
"Liberia","97","5.122"
"Lesoto","141","3.512"
"Lituania","34","6.446"
"Luxemburgo","6","7.404"
"Letonia","42","6.18"
"Libia","86","5.33"
"Marruecos","100","5.06"
"Moldavia","62","5.857"
"Montenegro","75","5.547"
"Madagascar","128","4.339"
"Macedonia del Norte","89","5.199"
"Malí","123","4.479"
"Myanmar","126","4.394"
"Mongolia","68","5.761"
"Mauritania","133","4.153"
"Malta","33","6.447"
"Mauricio","52","6.071"
"Malaui","138","3.75"
"México","46","6.128"
"Malasia","70","5.711"
"Mozambique","101","5.048"
"Namibia","124","4.459"
"Níger","104","5.003"
"Nigeria","118","4.552"
"Nicaragua","45","6.165"
"Países Bajos","5","7.415"
"Noruega","8","7.365"
"Nepal","84","5.377"
"Nueva Zelanda","10","7.2"
"Panamá","37","6.309"
"Perú","74","5.559"
"Filipinas","60","5.904"
"Pakistán","121","4.516"
"Polonia","48","6.123"
"Estado de Palestina","122","4.483"
"Paraguay","73","5.578"
"Rumanía","28","6.477"
"Serbia","43","6.178"
"Rusia","80","5.459"
"Ruanda","143","3.268"
"Arabia Saudita","25","6.523"
"Suecia","7","7.384"
"Singapur","27","6.48"
"Eslovenia","22","6.63"
"Eslovaquia","35","6.391"
"Sierra Leona","140","3.574"
"Senegal","103","5.046"
"El Salvador","49","6.12"
"Eswatini","125","4.396"
"Chad","130","4.251"
"Togo","135","4.112"
"Tailandia","61","5.891"
"Tayikistán","83","5.377"
"Turkmenistán","78","5.474"
"Túnez","120","4.516"
"Türkiye","112","4.744"
"Taiwan","26","6.512"
"Tanzania","139","3.702"
"Ucrania","98","5.084"
"Uganda","117","4.603"
"Uruguay","30","6.474"
"Uzbekistán","53","6.063"
"Venezuela","108","4.925"
"Viet Nam","77","5.485"
"Yemen","132","4.197"
"Sudáfrica","91","5.194"
"Zambia","137","3.76"
"Zimbabue","144","2.995"
